dim_product_eurocategory_desc,dim_period_year_desc,dim_market_channel_desc,dim_product_super_group_desc,dim_roi_range_desc,value,baseline_value,trade_spend_total,trade_spend_incl_cogs,number_of_tpr_weeks,number_of_display_weeks,number_of_feature_weeks,number_of_event_weeks,mfr_roi_value,trade_direct_promo_spend,number_of_weeks,number_of_records,PPI,BP,FEDI,DISO,FEAO
AIR FRESHENERS,2013,Hyper+Super Markets,HOMECARE,0-1,7737540.96,6594915.092,2206855.758,693757.8694,69578,4545,5474,70587,-472461.0843,1513097.888,70587,33410,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2013,Hyper+Super Markets,HOMECARE,<0,43286.347,57125.576,4773.371776,-2240.461189,787,66,53,868,-10374.52475,7013.832965,868,840,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2013,Hyper+Super Markets,HOMECARE,>1,9763565.071,4343117.745,4357587.594,2033604.155,79056,8747,9924,80130,726422.7935,2323983.439,80130,38648,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2014,Hyper+Super Markets,HOMECARE,,111610208.7,110919634.2,434820.1246,434820.1246,0,0,0,0,0,0,4138238,49585,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2014,Hyper+Super Markets,HOMECARE,0-1,7639291.012,6425545.269,2333421.243,739288.9415,74088,4844,5915,75004,-485198.8894,1594132.302,75004,34819,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2014,Hyper+Super Markets,HOMECARE,<0,47723.639,60690.896,4793.010721,-2042.84445,884,95,78,994,-9900.121846,6835.855171,994,969,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2014,Hyper+Super Markets,HOMECARE,>1,10070275.39,4424806.657,4653758.23,2149921.849,82793,9931,10716,83880,721046.3938,2503836.38,83880,39702,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2015,Hyper+Super Markets,HOMECARE,,105847874.4,104721477.5,529861.7056,529861.7056,0,0,0,0,0,0,4153033,51110,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2015,Hyper+Super Markets,HOMECARE,0-1,7394600.756,6145590.407,2276115.271,732379.682,80089,4744,6424,80998,-445166.0656,1543735.589,80998,37323,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2015,Hyper+Super Markets,HOMECARE,<0,48801.54,63540.46,5300.152384,-2225.344793,809,98,70,930,-10863.51437,7525.497177,930,905,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
AIR FRESHENERS,2015,Hyper+Super Markets,HOMECARE,>1,9610352.28,4358197.663,4330781.778,1998608.654,88005,9076,11053,89248,665739.8579,2332173.124,89248,41770,-1.582285781,-1.153433379,0.455124033,0.245890139,0.262684423
ALCOHOLIC PRE-MIX,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,,37034096.41,36788029.79,149571.5392,149571.5392,0,0,0,0,0,0,385925,6358,-2.426869966,-1.466017997,0.41568053,0.258334995,0.194642403
ALCOHOLIC PRE-MIX,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,0-1,2845122.53,2369924.291,738080.22,238167.2802,11678,1568,2551,11944,-142662.0196,499912.9399,11944,5884,-2.426869966,-1.466017997,0.41568053,0.258334995,0.194642403
ALCOHOLIC PRE-MIX,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,<0,46348.204,58384.853,5568.365203,-1807.200255,329,40,47,372,-10086.36584,7375.565458,372,358,-2.426869966,-1.466017997,0.41568053,0.258334995,0.194642403
ALCOHOLIC PRE-MIX,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,>1,6247825.412,2859244.373,2537371.103,1205067.434,18326,4098,5778,18671,475297.4833,1332303.668,18671,9077,-2.426869966,-1.466017997,0.41568053,0.258334995,0.194642403
ALCOHOLIC PRE-MIX,2014,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,,36717911.35,36413746.26,173372.461,173372.461,0,0,0,0,0,0,357354,5682,-2.426869966,-1.466017997,0.41568053,0.258334995,0.194642403
